Badge Name,Category,Badge Type,Requirement Type,Requirement Value,Prerequisite Badges,Next Level Badges,Icon,Description
First Steps,Consistency,consistency,total_actions,1,,Week Warrior,🌱,Complete your first daily action
Quick Start,Consistency,consistency,streak_days,3,First Steps,Five Day Champ,🌱,Complete actions for 3 days straight
Three Day Warrior,Consistency,consistency,streak_days,3,First Steps,Five Day Champ,⭐,Complete 3 actions in a row
Consistent Companion,Consistency,consistency,streak_days,3,First Steps,Five Day Champ,🎯,Complete actions for 3 consecutive days
Building Momentum,Consistency,consistency,streak_days,3,First Steps,Five Day Champ,🔥,3 days of action completion
Habit Starter,Consistency,consistency,streak_days,3,First Steps,Five Day Champ,💪,Complete 3 days in a row
Five Day Champ,Consistency,consistency,streak_days,5,Quick Start,Week Warrior,🏅,Complete actions for 5 days straight
Weekday Warrior,Consistency,consistency,streak_days,5,Quick Start,Week Warrior,⚡,Complete actions for 5 consecutive days
Week Warrior,Consistency,consistency,streak_days,7,Five Day Champ,Daily Dedication,🔥,Complete actions for 7 days straight
Daily Dedication,Consistency,consistency,streak_days,14,Week Warrior,Super Streaker,⭐,Complete actions for 14 days straight
Super Streaker,Consistency,consistency,streak_days,21,Daily Dedication,Month Master,🔥,Complete actions for 21 days straight
Month Master,Consistency,consistency,streak_days,30,Super Streaker,Consistency King,💪,Complete actions for 30 days straight
Consistency King,Consistency,consistency,streak_days,45,Month Master,Habit Hero,🎖️,Complete actions for 45 days straight
Habit Hero,Consistency,consistency,streak_days,60,Consistency King,Quarter Champion,👑,Complete actions for 60 days straight
Quarter Champion,Consistency,consistency,streak_days,90,Habit Hero,Year Warrior,🏆,Complete actions for 90 days straight
Year Warrior,Consistency,consistency,streak_days,365,Quarter Champion,,👑,Complete actions for 365 days straight
Action Accumulator,Consistency,consistency,total_actions,25,First Steps,Steady Hand,📊,Complete 25 total actions
Steady Hand,Consistency,consistency,total_actions,50,Action Accumulator,Century Club,🎯,Complete 50 actions without missing a day
Century Club,Consistency,consistency,total_actions,100,Steady Hand,Action All-Star,💯,Complete 100 total actions
Action All-Star,Consistency,consistency,total_actions,150,Century Club,Double Century,⭐,Complete 150 total actions
Double Century,Consistency,consistency,total_actions,200,Action All-Star,,💯,Complete 200 total actions
Romance Rookie,Big Idea,big_idea,category_count,5,,Romance Master,💕,Complete 5 romance-focused actions
Romance Master,Big Idea,big_idea,category_count,10,Romance Rookie,,💕,Complete 10 romance-focused actions or tips
Communication Champion,Big Idea,big_idea,category_count,10,,,💬,Complete 10 communication-focused actions or tips
Active Listener,Big Idea,big_idea,category_count,5,,Communication Champion,👂,Complete 5 active listening actions
Gratitude Champion,Big Idea,big_idea,gratitude_actions,15,,Gratitude Guru,🌟,Complete 15 gratitude actions
Gratitude Guru,Big Idea,big_idea,gratitude_actions,20,Gratitude Champion,,🙌,Express specific gratitude 20 times
Partnership Pro,Big Idea,big_idea,category_count,10,,,🤝,Complete 10 partnership-focused actions or tips
Intimacy Expert,Big Idea,big_idea,category_count,10,,,💝,Complete 10 intimacy-focused actions or tips
Surprise Specialist,Big Idea,big_idea,surprise_actions,3,,,🎁,Plan and execute 3 surprise dates or activities
Date Night Pro,Big Idea,big_idea,date_nights,5,,,🍷,Plan and execute 5 quality date nights
Apology Ace,Big Idea,big_idea,apology_actions,3,,,🙏,Sincerely apologize and make amends 3 times
Support System,Big Idea,big_idea,support_actions,1,,,🤝,Support your partner through a major goal or challenge
Love Language Learner,Big Idea,big_idea,love_languages,5,,,💝,Actively practice all 5 love languages
Peacemaker,Big Idea,big_idea,conflict_resolutions,3,,Conflict Resolver,🕊️,Resolve 3 conflicts using healthy communication
Conflict Resolver,Big Idea,big_idea,conflict_resolutions,5,Peacemaker,,⚖️,Successfully resolve 5 conflicts constructively
Relationship Architect,Big Idea,big_idea,milestone_actions,1,,,🏗️,Complete a major relationship milestone or goal together
First Adventure,Big Idea,big_idea,adventure_actions,1,,Adventure Seekers,🎉,Complete your first adventure activity together
Adventure Seekers,Big Idea,big_idea,adventure_actions,5,First Adventure,Adventure Legends,🗺️,Complete 5 adventure activities together
Adventure Legends,Big Idea,big_idea,adventure_actions,10,Adventure Seekers,Ultimate Explorer,⚔️,Complete 10 adventure activities together
Ultimate Explorer,Big Idea,big_idea,adventure_actions,10,Adventure Legends,,🌍,Visit 10 new places together
Daredevil Duo,Big Idea,big_idea,adventure_actions,3,,Adventure Seekers,🔥,Complete 3 adventurous or daring activities together
Sunrise Chasers,Big Idea,big_idea,adventure_actions,5,,,🌅,Watch 5 sunrises or sunsets together
Explorer Extraordinaire,Big Idea,big_idea,adventure_actions,5,,Ultimate Explorer,🗺️,Visit 5 new places together
Nature Lover,Big Idea,big_idea,outdoor_actions,5,,Outdoor Enthusiasts,🌲,Complete 5 outdoor activities together
Outdoor Enthusiasts,Big Idea,big_idea,outdoor_actions,10,Nature Lover,Outdoor Master,🌳,Complete 10 outdoor activities together
Outdoor Master,Big Idea,big_idea,outdoor_actions,20,Outdoor Enthusiasts,Outdoor Icon,🏞️,Complete 20 outdoor activities together
Outdoor Icon,Big Idea,big_idea,outdoor_actions,30,Outdoor Master,,🏆,Complete 30 outdoor activities together
Hiking Hero,Big Idea,big_idea,hiking_actions,3,,Trail Blazer,⛰️,Go on 3 hikes together
Trail Blazer,Big Idea,big_idea,hiking_actions,5,Hiking Hero,,🥾,Complete 5 hiking adventures together
Walking Duo,Big Idea,big_idea,walk_actions,10,,,🚶,Go on 10 walks together
Streaking Stars,Big Idea,big_idea,streaking_actions,3,,,🌟,Go streaking together 3 times
Camping Couple,Big Idea,big_idea,camping_actions,2,,,⛺,Go camping together 2 times
Water Lovers,Big Idea,big_idea,water_activities,3,,,💧,Complete 3 water activities together
Running Partners,Big Idea,big_idea,run_actions,5,,,🏃,Go running together 5 times
Active Couple,Big Idea,big_idea,sports_actions,5,,Fitness Friends,🏋️,Complete 5 active/athletic activities together
Fitness Friends,Big Idea,big_idea,sports_actions,10,Active Couple,,💪,Complete 10 active activities together
Weekend Warriors,Consistency,consistency,weekend_streak,10,,,🎯,Complete actions for 10 consecutive weekends
Early Bird,Consistency,consistency,early_morning_streak,7,,,🌅,Complete your action before 9 AM for 7 days
Night Owl,Consistency,consistency,evening_streak,7,,,🦉,Complete your action after 8 PM for 7 days
Connection Builder,Roommate Syndrome Recovery,consistency,category_count,5,,Roommate Syndrome Survivor,🔗,Completed 5 reconnection actions
Communication Rebuilder,Roommate Syndrome Recovery,consistency,category_count,5,,Roommate Syndrome Survivor,💬,Completed 5 communication rebuilders
Intimacy Restorer,Roommate Syndrome Recovery,consistency,category_count,5,,Roommate Syndrome Survivor,💕,Completed 5 emotional intimacy builders
Roommate Syndrome Survivor,Roommate Syndrome Recovery,consistency,category_count,10,Connection Builder,Connection Champion,🏆,Completed 10 Roommate Syndrome Recovery actions
Connection Champion,Roommate Syndrome Recovery,consistency,category_count,15,Roommate Syndrome Survivor,,👑,Completed 15 Roommate Syndrome Recovery actions
Challenge Starter,Challenges,consistency,challenge_joined,1,,Communication Champion (Challenge),🎯,Joined your first weekly challenge
Communication Champion (Challenge),Challenges,consistency,challenge_completed,1,Challenge Starter,Challenge Master,💬,Completed the 7-Day Communication Challenge
Connection Restorer,Challenges,consistency,challenge_completed,1,Challenge Starter,Challenge Master,🔗,Completed the 7-Day Roommate Syndrome Recovery Challenge
Romance Reviver,Challenges,consistency,challenge_completed,1,Challenge Starter,Challenge Master,💕,Completed the 7-Day Romance Challenge
Challenge Master,Challenges,consistency,challenge_completed,3,Communication Champion (Challenge),Challenge Legend,🏆,Completed 3 weekly challenges
Challenge Legend,Challenges,consistency,challenge_completed,5,Challenge Master,,👑,Completed 5 weekly challenges

