Type,Name,Category,Theme,Requirement Type,Requirement Value,Icon,Description,Benefit,Related Badges,Challenge Day
Action,Active Listening Session,Communication,communication,category_count,,👂,Spend 15 minutes listening to your partner without offering solutions or advice. Just listen and understand.,Builds trust and makes your partner feel heard. Deep listening prevents misunderstandings and strengthens your emotional connection.,Communication Champion, Active Listener,1
Action,Express Gratitude,Communication,gratitude,gratitude_actions,,🙏,Tell your partner one specific thing you're grateful for about them today.,Creates a positive atmosphere and strengthens bonds. Gratitude shifts focus to what's working in your relationship.,Gratitude Guru, Gratitude Champion,2
Action,Apologize Sincerely,Communication,communication,apology_actions,,💬,Apologize for something specific without making excuses. Acknowledge the impact.,Shows emotional maturity and accountability. Sincere apologies repair trust and demonstrate respect for your partner's feelings.,Apology Ace,
Action,Daily Check-In,Communication,communication,category_count,,💭,Ask your partner: "How was your day?" and genuinely listen to their response.,Shows you care about their day. Regular check-ins create emotional intimacy and prevent small issues from becoming big problems.,Communication Champion,4
Action,Share Your Feelings,Communication,communication,category_count,,💙,Open up about something you're feeling or experiencing. Be vulnerable.,Creates emotional intimacy and vulnerability. Sharing feelings builds deeper connection and helps your partner understand you better.,Communication Champion,3
Action,Plan a Surprise Date,Romance,romance,surprise_actions,,🎁,Plan and execute a surprise date or activity for your partner.,Keeps the relationship exciting and shows thoughtfulness. Surprises remind your partner they're important to you.,Surprise Specialist,4
Action,Write a Love Note,Romance,romance,category_count,,💕,Write a handwritten note expressing your love and appreciation.,Tangible expression of love your partner can keep. Handwritten notes are personal and meaningful in our digital age.,Romance Master,1
Action,Date Night,Romance,romance,date_nights,,🍷,Plan and execute a quality date night together.,Quality time strengthens connection. Regular date nights keep romance alive and help you reconnect away from daily stress.,Date Night Pro,5
Action,Physical Affection,Romance,romance,category_count,,💋,Give your partner 5 meaningful touches throughout the day (hug, kiss, hand hold, etc.).,Physical touch releases oxytocin (the bonding hormone). Regular affection maintains physical intimacy and emotional closeness.,Romance Master,3
Action,Compliment Your Partner,Romance,romance,category_count,,✨,Give your partner a genuine, specific compliment about their character or actions.,Boosts your partner's confidence and makes them feel valued. Specific compliments are more meaningful than generic ones.,Romance Master,2
Action,Gratitude List,Gratitude,gratitude,gratitude_actions,,📝,List 5 things you're grateful for about your partner today.,Shifts focus to positives and cultivates appreciation. Listing gratitude helps you notice the good your partner brings daily.,Gratitude Guru, Gratitude Champion,
Action,Thank You for Chores,Gratitude,gratitude,gratitude_actions,,🙌,Thank your partner for something they did around the house without being asked.,Acknowledges their efforts and prevents resentment. Recognizing contributions makes partners feel seen and appreciated.,Gratitude Guru, Gratitude Champion,
Action,Appreciate Their Effort,Gratitude,gratitude,gratitude_actions,,🌟,Acknowledge and appreciate a specific effort your partner made recently.,Validates their hard work and motivates continued effort. Recognition is a powerful relationship currency.,Gratitude Guru, Gratitude Champion,
Action,Gratitude Text,Gratitude,gratitude,gratitude_actions,,📱,Send your partner a text expressing gratitude for something they did.,Quick way to brighten their day. Texting shows you're thinking of them even when apart.,Gratitude Guru, Gratitude Champion,
Action,Morning Gratitude,Gratitude,gratitude,gratitude_actions,,🌅,Start the day by telling your partner one thing you appreciate about them.,Sets a positive tone for the day. Starting with appreciation creates a warm, connected atmosphere.,Gratitude Guru, Gratitude Champion,
Action,Take Over a Chore,Partnership,partnership,category_count,,🧹,Do one of your partner's regular chores without being asked.,Shows you're a true partner, not just a roommate. Taking initiative prevents the mental load from falling on one person.,Partnership Pro,
Action,Support Their Goal,Partnership,partnership,support_actions,,💪,Ask about and actively support one of your partner's personal or professional goals.,Shows you're invested in their happiness and success. Supporting goals creates a team mentality in your relationship.,Support System,
Action,Handle a Responsibility,Partnership,partnership,category_count,,🤝,Take on one of your partner's responsibilities to give them a break.,Gives your partner a break and shows care. Handling responsibilities demonstrates partnership and reduces their stress.,Partnership Pro,
Action,Plan Together,Partnership,partnership,category_count,,📅,Sit down and plan something together (vacation, home project, weekend, etc.).,Creates shared purpose and unity. Planning together strengthens teamwork and builds anticipation for shared experiences.,Partnership Pro,
Action,Be Proactive,Partnership,partnership,category_count,,⚡,Notice something that needs to be done and do it without being asked.,Prevents small tasks from becoming sources of resentment. Being proactive shows thoughtfulness and consideration.,Partnership Pro,
Action,Love Language Practice,Intimacy,intimacy,love_languages,,💝,Practice one of the 5 love languages intentionally today.,Speaking their love language makes them feel deeply loved. Understanding and practicing love languages transforms relationships.,Love Language Learner,6
Action,Quality Time,Intimacy,intimacy,category_count,,⏰,Spend 30 minutes of uninterrupted quality time with your partner (no phones).,Uninterrupted time deepens connection. Quality time without distractions shows your partner they're your priority.,Intimacy Expert,7
Action,Physical Touch,Intimacy,intimacy,category_count,,🤗,Initiate physical affection (hug, kiss, cuddle) without expecting anything in return.,Physical touch releases bonding hormones. Regular, non-sexual touch maintains intimacy and emotional connection.,Intimacy Expert,
